mention_text,lat,lon,valid
southeastern Alaska,64.14449310302734,-152.27976989746094,1
north of Sully Island,51.41301300071,-3.23145450056293,1
Koroliuk,46.51714,32.51261,1
Borden Basin Nunavut Canada,65.4034423828125,-96.064453125,1
Green River,38.99550247192383,-110.16214752197266,1
Pangjiapu region,63.13799285888672,-92.45469665527344,1
Ordos Basin China,39.604000091552734,109.78500366210938,1
Shark Bay Australia,-25.800962448120117,113.8779525756836,1
Hamelin Pool Australia,-26.441110610961914,114.34940338134766,1
Santa Pola SE Spain,38.19235610961914,-0.5551819801330566,1
Halimeda,-32.97827,-71.54108,1
Mediona,41.478824615478516,1.6121309995651245,1
Nature Conservation Authority Perth,-31.951839447021484,115.85870361328125,1
F. Dorrington,38.30708312988281,-120.27659606933594,1
Chernyshev Swell,45.04856,40.04367,1
Nanoplast,-1,-1,0
Southern Nevada and South-eastern California,39.356449127197266,-116.6553955078125,1
southern Tunisia Termier,36.92229,10.04669,1
White Bay Cay and South Halls Pond,-33.864139556884766,151.18313598632812,1
North Eurasia Alternellaceae Taxa Dmax,49.9998779296875,79.99994659423828,1
Mount,46.58725357055664,-112.06105041503906,1
Krahenberg,49.33142852783203,7.467120170593262,1
Today : Springer Heidelberg,49.40191650390625,8.680299758911133,1
Kaluweerrie Hills,41.55424499511719,-91.53601837158203,1
Hamersley Group Australia Ga,-25.728103637695312,134.4901885986328,1
Russia Australia Africa and Greenland,-25.728103637695312,134.4901885986328,1
Ga  Great Slave Lake northwest Canada,61.80100631713867,-113.7847671508789,1
Technology Massachusetts Avenue Cambridge,42.3598222845385,-71.0943863233355,1
Keilberg,50.613609313964844,12.630000114440918,1
Paris Diderot Paris,48.83028030395508,2.3812520503997803,1
Jeon H. Pages A. Wacey D.,-33.49143981933594,138.5768585205078,1
Transvaal basin Duitschland,51.093116760253906,10.380215644836426,1
Leicester University Road Leicester,52.6214701390446,-1.12634297990513,1
Maoying area,-1,-1,0
original US,39.50355529785156,-99.01830291748047,1
November Korolyuk,3.830389976501465,-72.18122863769531,1
Alexander VA,38.804664611816406,-77.04361724853516,1
northern Arrow Canyon and Silica Quarry,36.70000076293945,-114.86699676513672,1
Socompa  Costello,-24.4119873046875,-68.27120208740234,1
Miller Walpole,42.144775390625,-71.2537841796875,1
Actinomycetales Euzebyales Acidimicrobiales and Gaiellales Figure D,-1,-1,0
Sibley Groups Ontario,50.07466125488281,-85.82874298095703,1
Belcher Islands,56.33300018310547,-79.5,1
Rotokawa,-38.66230773925781,176.11761474609375,1
Steep Rock Lake Atikokan northwestern Ontario,51,-91,1
Ebro Basin,43.01771545410156,-4.190669059753418,1
Hartbessfontein South Africa,-26.764440536499023,26.42003059387207,1
Colonella,42.87223434448242,13.86727237701416,1
Other Kiritimati Atoll Kiribati Lacustrine Microbialites,1.8637830018997192,-157.66595458984375,1
Udaipur,24.576114654541016,73.70050048828125,1
South Kazakhstan,48.17708969116211,67.35081481933594,1
Xuanhua-Longguan area,40.60845184326172,115.09922790527344,1
Awramik,-1,-1,0
Degens,-1,-1,0
Andersen,-64.31700134277344,-62.93299865722656,1
southeastern Australia,-25.728103637695312,134.4901885986328,1
Jet Propulsion Laboratory Oak Grove Drive Pasadena CA,34.14955139160156,-118.14144897460938,1
Lake Specchio,40.22456,18.22032,1
Technology MA,34.02199,-6.83762,1
Mouget J.-L. Kromkamp,-1,-1,0
Naldehra,31.18211555480957,77.1845703125,1
Darbouka,41.04171,28.97077,1
Milne Inlet Trough,72.2728500366211,-80.5085678100586,1
New Zealand and Brake,-43.53076,172.57123,1
Precambrien Superieur du Sahara Nord-Occidental,34.1274299621582,-118.21051025390625,1
South West Britain,54.000640869140625,-2.593187093734741,1
active fault-controlled basin,44.29499053955078,20.84742546081543,1
Schoenmakerskop and the Maitland River,43.92131042480469,-80.8179931640625,1
Yudongzi and Laolongdong,-1,-1,0
Hesse,50.60310363769531,9.031112670898438,1
Olavarria Sierras Septentrionales Argentina,-36.93774,-60.15767,1
Elganellus Malykania,-1,-1,0
Central Brazil,-11.132744789123535,-42.0960578918457,1
Strathcona River T,49.279170989990234,-123.0875015258789,1
Thomazo,-1,-1,0
Astrobiology Institute Ames Research Center Moffett Field,37.413028717041016,-122.05476379394531,1
Little Mesa,33.41518020629883,-111.83149719238281,1
Drake Island Fig,50.355560302734375,-4.1536102294921875,1
Missouri and Kansas,38.4847297668457,-98.38018035888672,1
water Oho and Hho,6.603906154632568,0.47028398513793945,1
Burne R.V  Shark Bay,47.69997787475586,38.23383712768555,1
Hungary Correspondence,47.165287017822266,19.412185668945312,1
West Africa Jbeliat Amogjar,-15.650364875793457,23.6816349029541,1
TU and Tl,-8.798225402832031,125.94892120361328,1
northern region,9.428590774536133,-0.1800529956817627,1
Massachusetts Amherst MA August,42.37580490112305,-72.5198745727539,1
both the Shark Bay and Bahaman,22.36953,-72.96622,1
southern East Siberia,54.91063,82.99006,1
Box Port Elizabeth South Africa,-33.96076,25.62064,1
University Montreal Canada Abstract Thin,45.509063720703125,-73.55335998535156,1
Santa Rosa de Viterbo,5.876810073852539,-72.98361206054688,1
buildups Northern Anabar Region  Lithol,73.18737030029297,113.57565307617188,1
Kundatia,-1,-1,0
Laguna Negra Waters The,-34.04622,-53.54892,1
boundary region,63.13799285888672,-92.45469665527344,1
Pilbara Craton Australia,-25.728103637695312,134.4901885986328,1
Western Sichuan Basin Table,30.5,105.5,1
Eastern Cape coast South Africa,-33.35518,18.15649,1
Marion Lake Australia Fig,-25.728103637695312,134.4901885986328,1
Southern Carpathians Romania,44.49975,26.05777,1
Cuddapah Supergroup India,22.35251808166504,79.36368560791016,1
Chongyang Hubei province South China,29.555370330810547,114.0389175415039,1
northeastern part of the Amadeus Basin,42.338958740234375,-71.08871459960938,1
Witwatersrand Johannesburg South Africa Department,-26.40431,27.8651,1
Planetary and Space Sciences Center,38.8861083984375,1.403059959411621,1
Western Australia Shark Bay,-25.800962448120117,113.8779525756836,1
Abadeh region,31.15669059753418,52.65313720703125,1
Semikhatov,56.78347,60.55034,1
Shark Bay and the Bahamas,22.36953,-72.96622,1
Indravati and Chhattisgarh Basins Central India Stromatolites,21.266849517822266,82.04127502441406,1
Lower Cuddapah,14.451499938964844,78.82980346679688,1
Bahamas and Bermuda,32.294010162353516,-64.78716278076172,1
western Australia,-25.46647071838379,122.18177795410156,1
Elikah Valley,41.81867218017578,-78.94615173339844,1
Lingula,-12.789101600646973,35.79689407348633,1
North Pole area Western Australia Nature,-25.46647071838379,122.18177795410156,1
Atmospheric Research Ltd Greta Point Wellington New Zealand Rosenstiel School,-41.285099029541016,174.7760009765625,1
Cat Island The Bahamas,24.309640884399414,-75.44336700439453,1
southern margin of Lake Thetis,-30.506742477416992,115.08131408691406,1
surrounding basin,44.29499,20.84743,1
Rey Lake,50.3408317565918,-120.70555877685547,1
filamentous Gunflintia,20.38226,-99.93557,1
Bahamas : San Salvador Bahamas College Center,24.05532,-74.53509,1
Dongzhi Anhui,30.096630096435547,117.02765655517578,1
Seattle WA,47.60322952270508,-122.33027648925781,1
Salda Golu,37.54974365234375,29.683170318603516,1
south of North Stromatolite Lake Figure,2.632999897003174,36.599998474121094,1
Curitiba Brazil Universidade,-25.428356170654297,-49.273250579833984,1
Kanpur and Matoon,26.33968734741211,80.29293823242188,1
Namibia Author,-22.138391494750977,17.222061157226562,1
Trona Mt. Oncolites Casati  Freytet,35.818058013916016,-117.34197235107422,1
Scotland Hudson,56.37909398021,-2.88003479620994,1
Trypanopora,-1,-1,0
Lake Salda Golu Turkey,40.79496,32.19113,1
Georginia Walter,44.253509521484375,-79.31803131103516,1
Wabigoon Subprovince Superior Province Ontario,50.07466125488281,-85.82874298095703,1
Gordonophyton Tarthinia,45.43773,13.52774,1
western Madagascar,-19.378915786743164,46.694671630859375,1
Beigong,23.57579,120.30254,1
Kanawna Western Australia,-30.60832977294922,121.60330200195312,1
shark bay western Australia,-25.800962448120117,113.8779525756836,1
Del Puerto Creek,37.46554183959961,-121.24984741210938,1
Lindley Hall,-27.88182,27.92167,1
Biosedimentology Stromatolites Cynaobacteria Rivuariaceae Palustrine Lamination Seasonal,4.489910125732422,-75.77082061767578,1
UK Australian Journal,53.937034606933594,-2.5179998874664307,1
Shatang,27.478059768676758,112.32083129882812,1
northern Siberian Platform Anabar Massif Olenek Uplift,60,105,1
northernmost Belize,17.25051,-88.77266,1
atmosphere Des Marais,41.47999954223633,-81.68495178222656,1
Kola Peninsula Baltic Shield,67.5572280883789,36.73348617553711,1
Jerusalem Jerusalem Israel,31.77886,35.20307,1
UK European Journal,53.937034606933594,-2.5179998874664307,1
northern paleomargin of Laurentia,51.479000091552734,5.798302173614502,1
Grandes-Platidres,35.206298828125,26.298368453979492,1
T.M Perytb,-31.951839447021484,115.85870361328125,1
Krakow,50.0548095703125,19.927845001220703,1
eastern Wyoming Geol,42.99962615966797,-107.55144500732422,1
western United States,43.30561065673828,-75.38327026367188,1
southern Israel  Fig,31.6829,34.63451,1
Lagoa Vermelha,-28.2105655670166,-51.526371002197266,1
Itapeva Sao Paulo,-23.9822998046875,-48.8768424987793,1
Sciences Moscow Russia PALAIOS  V.,55.65475,37.60177,1
Zaragoza Spain,41.656837463378906,-0.8794249892234802,1
East Crimea,45.292930603027344,34.40834426879883,1
Tanganyika Africa,-6.5,29.83300018310547,1
Burundi Cohen and Thouin,-3.367785930633545,29.890052795410156,1
MgCa,-1,-1,0
B Antarctica Siberia Balti Gondwana,47.76192092895508,27.92786407470703,1
Glacier Bay,58.760833740234375,-136.34861755371094,1
Transvaal Supergroup southern Africa,-1.2833329439163208,29.700000762939453,1
modem environment Lee Stocking Island Bahamas,23.533000946044922,-75.76699829101562,1
Epiphyton Renalcis,45.96399,12.68061,1
Plettenberg Bay and Port Alfred,-34.08937,23.29673,1
southern Germany,49,10,1
North Carolina,35.53937530517578,-79.1854248046875,1
modem geology : San Diego California Academic Press,32.71575927734375,-117.163818359375,1
Ga Carajas,32.64828872680664,-83.44437408447266,1
southern Ural Montains USSR,48.84688,44.75395,1
example Lake Van,38.5168,43.35154,1
Gulf of Aqaba Fig,28.767345428466797,34.657386779785156,1
west Texas,-34.84212112426758,117.94740295410156,1
Societe Geologique de France,-1,-1,0
Sadlerochit Mountains,69.62104034423828,-145.1714324951172,1
Donnelly T H  Etminan H,44.728607177734375,-116.07611846923828,1
Palaeotethys Ocean Figure,43.22439193725586,-8.36844253540039,1
Turukhansk area,65.79462432861328,87.96429443359375,1
southeastern California United States,37.254669189453125,-119.61727905273438,1
west and the Strathcona River,49.279170989990234,-123.0875015258789,1
